"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00190C",238.035012293096,5.23505380420414,0.376403804220691,13.9080788916117,5.65787902438901e-44,5.30099742438909e-42
"C1_00200C",87.1091729294948,1.1563463302094,0.333734223864977,3.46487188762887,0.000530484123293498,0.00181395188706199
"C1_00270W",94.7205490156598,-3.50355097940552,0.412207634534739,-8.49948105245552,1.9044013808092e-17,3.61302318041372e-16
"C1_00290W",501.208092853925,-3.46564194493101,0.242805816383873,-14.2733069435696,3.20988955074049e-46,3.42951357263326e-44
"C1_00350C",677.033645649988,1.19502108595746,0.260619707813428,4.58530590792061,4.5332222181849e-06,2.32189430687519e-05
"C1_00390W",690.327675357392,1.25013521879712,0.142324631228052,8.78368844528377,1.58199496056626e-18,3.25484773981368e-17
"C1_00490C",1756.34269104714,-1.06407031443822,0.195927097043797,-5.43095023860005,5.6054764832873e-08,3.96024962682363e-07
"C1_00590W",7459.45457719105,1.5400053028624,0.178215636543019,8.64124682174372,5.56028489721576e-18,1.0888146309982e-16
"C1_00640C",1466.57837746175,1.07670139274634,0.147573638740852,7.29602794871168,2.96387363077542e-13,3.7682652215913e-12
"C1_00700W",823.275244378722,1.13319429214585,0.239007306671963,4.74125376301218,2.12399694363792e-06,1.14470277758893e-05
"C1_00830W",344.01522270303,-1.32846710042185,0.236457968099394,-5.61819553428383,1.9296205613608e-08,1.44365960917534e-07
"C1_00850W",436.709186311623,-1.09985922000696,0.169603555933571,-6.4848830200102,8.88006567965415e-11,8.37145510667087e-10
"C1_00880W",175.190037027841,1.74786684759231,0.234614752784634,7.44994433149213,9.33796253100606e-14,1.27793689469274e-12
"C1_00900W",907.716966066934,1.01769932690025,0.187935058594759,5.41516486870442,6.12322584624002e-08,4.30605605122422e-07
"C1_00980W",446.379697490455,1.38726707824088,0.231197578175589,6.00035298461165,1.96889044292506e-09,1.640325347744e-08
"C1_01040W",404.744397326145,-1.31737685794031,0.197072074382329,-6.68474649221249,2.3132473390125e-11,2.33626472547034e-10
"C1_01140C",1780.20320573399,-1.75326071640826,0.208202586657625,-8.42093628400198,3.73487360766589e-17,6.93456715569672e-16
"C1_01170C",296.549348210592,-1.05292185287815,0.192595317215087,-5.46701689378183,4.57672448799464e-08,3.27908848610439e-07
"C1_01220C",559.654496513973,1.1231048807055,0.205883908375075,5.4550396365094,4.89619227133546e-08,3.49154694759168e-07
"C1_01240W",820.9406342108,2.56178269989049,0.209524358182933,12.2266581418368,2.23964523078745e-34,1.20703004030934e-32
"C1_01360C",3755.92864292577,-1.93933117836656,0.164069986852743,-11.8201458753524,3.07150722545327e-32,1.52077065065126e-30
"C1_01490W",4120.36763515146,1.20817266344792,0.159878233840593,7.55683018523045,4.13010604406754e-14,5.80885584488946e-13
"C1_01510W",30.1737262977588,2.09761993329959,0.762948685230736,2.74935912978894,0.00597119233284866,0.015762705378001
"C1_01580W",764.884384091448,1.30944065285041,0.128206064528216,10.2135624993171,1.72415711359423e-24,5.41243135143756e-23
"C1_01600W",1143.30970832423,1.28482570923667,0.153122007236905,8.39086250514488,4.82588470351505e-17,8.84334560590761e-16
"C1_01610C",167.062248377044,-1.53554898303795,0.288533767029852,-5.3219039103977,1.02686812052632e-07,6.93306746563778e-07
"C1_01620C",403.550540111205,2.39512040635273,0.510449072431375,4.69218289484644,2.70305309999194e-06,1.43348980688178e-05
"C1_01630W",1439.55822290112,1.50503118662954,0.47731709878381,3.15310553605626,0.00161543392547972,0.00492392022330907
"C1_01680C",597.90463033047,1.18800726675617,0.167037181036874,7.11223249447626,1.14180701019004e-12,1.35812591641745e-11
"C1_01690C",8959.16624250259,1.03113706474245,0.119437813974434,8.63325466558836,5.96304720306588e-18,1.16394094444459e-16
"C1_01740W",318.209071719361,2.33891528440697,0.268282845982491,8.71809479969368,2.82922031540411e-18,5.66774727658258e-17
"C1_01830C",1367.98203906181,-1.30598550248063,0.1235458610058,-10.5708559707987,4.0676486423532e-26,1.43190637178792e-24
"C1_01920W",217.087135953893,-1.05876853646821,0.179655549589302,-5.89332497041471,3.78500991962843e-09,3.05307422656121e-08
"C1_01930W",1721.48674663001,-2.99952880347838,0.125250019717769,-23.9483299901854,9.61790178210344e-127,4.88108515441749e-124
"C1_01980W",1337.17357412811,3.89015715831925,0.405876132175354,9.58459207115573,9.28237223232805e-22,2.44717086125012e-20
