"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_01610C",167.062248377044,-1.70079351558413,0.29228272373047,-5.8190011844577,5.9200314856192e-09,4.75006478885651e-08
"C1_01620C",403.550540111205,3.08271961275198,0.510180857316118,6.04240548923979,1.5183329150545e-09,1.2950486628406e-08
"C1_01630W",1439.55822290112,1.83528117092783,0.477274143086986,3.84533961772435,0.000120385584515684,0.000512691055734625
"C1_01680C",597.90463033047,1.31582982947117,0.167176149031266,7.87091841208207,3.52047179509991e-15,5.65690586600487e-14
"C1_01690C",8959.16624250259,1.34244608771577,0.11942184234837,11.241210663956,2.55849290819277e-29,1.18039559173439e-27
"C1_01740W",318.209071719361,1.43706911152847,0.270220066267501,5.31814358340754,1.04831330176835e-07,7.26305802931653e-07
"C1_01920W",217.087135953893,-1.46584362839602,0.187049725481213,-7.83665212351913,4.62717681549147e-15,7.35757357867965e-14
"C1_01930W",1721.48674663001,-2.93911976447817,0.125824811973825,-23.358825007341,1.12105216997663e-120,6.82720771515766e-118
"C1_01980W",1337.17357412811,4.99759688500263,0.405628134420728,12.3206367135742,7.01383184424133e-35,4.54406765227975e-33
"C1_02070W",145.446761046752,6.22789184464644,0.827810540460747,7.52332996530835,5.33984322179999e-14,7.51031067454086e-13
"C1_02080W",291.649156485607,-1.20755593635644,0.226569304459512,-5.32974199323734,9.83523892052024e-08,6.85315846979042e-07
"C1_02110C",2317.43171774812,1.45632552547356,0.375625368171888,3.8770691462115,0.000105722319459196,0.000455016908485163
"C1_02140C",4.13705681935371,-4.02977240114604,1.48508379189392,-2.71349833803445,0.00665769021909782,0.0181899207870371
"C1_02150W",1971.17185020318,1.06967845030357,0.367867042145743,2.90778549789133,0.00363997917304411,0.0106540283387475
"C1_02170C",383.468683829937,1.00485223261764,0.261939197737329,3.83620413171344,0.000124950563177428,0.000531018094731708
"C1_02320C",1639.43089961953,1.18700991459272,0.121059073469624,9.80521228663261,1.06921941109105e-22,3.22353772947749e-21
"C1_02330C",5240.94626175643,1.16612936343656,0.152519038040635,7.6457954260495,2.07657593051138e-14,3.05467328908558e-13
"C1_02490C",584.17997937962,1.07183007091594,0.174061197013085,6.15777720312566,7.37730406047346e-10,6.5185108402722e-09
"C1_02520W",342.886372557526,8.76082438562058,1.22024893710672,7.17953863282438,6.99470566695907e-13,8.62302783639286e-12
"C1_02580W",67.4991026280257,-1.30681191781227,0.447032471891059,-2.92330423399474,0.00346337934223011,0.0102049765270174
"C1_02650W",1755.66845209009,1.19664662316433,0.112985451145582,10.591156746566,3.27519266512194e-26,1.22367627795047e-24
"C1_02970W",2614.82379612078,-2.29086458088251,0.145486606094679,-15.7462232598351,7.29075087025473e-56,1.16843875789082e-53
"C1_02980W",1118.72087950431,-2.27936211275864,0.235514803375731,-9.67821164566984,3.73186526321299e-22,1.09264708908496e-20
