baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
3445.510355,-1.450368017,0.173372757,-8.365605098,5.98E-17,5.52E-15
584.3397985,1.509521397,0.156922447,9.619537734,6.61E-22,1.61E-19
174.3014432,-1.027937961,0.277895152,-3.699013657,0.000216439,0.001109523
475.9671261,1.361860024,0.267307017,5.094741016,3.49E-07,3.86E-06
751.6710749,1.009088426,0.167073678,6.039780991,1.54E-09,2.84E-08
495.8635049,1.158738893,0.200510824,5.778934381,7.52E-09,1.19E-07
132.9060862,-3.655499058,0.584238629,-6.25685957,3.93E-10,8.25E-09
222.8986827,-1.87385004,0.210612666,-8.897138397,5.73E-19,7.76E-17
3675.156073,-1.721961289,0.116339843,-14.80113128,1.44E-49,1.75E-46
55.0387283,-1.750505339,0.493314639,-3.548456099,0.000387497,0.0018251
329.1555565,-1.040467891,0.229106079,-4.541424196,5.59E-06,4.53E-05
410.1065585,-1.157389844,0.184577332,-6.270487444,3.60E-10,7.69E-09
1069.685683,1.259714899,0.201109963,6.263811501,3.76E-10,8.00E-09
3910.844245,-1.016668679,0.195967543,-5.187944217,2.13E-07,2.45E-06
455.7121244,-1.266374705,0.262392543,-4.826260272,1.39E-06,1.31E-05
467.1742333,1.233972848,0.141297505,8.733153858,2.48E-18,2.85E-16
33.80984694,-1.652740894,0.483816168,-3.41605139,0.000635363,0.002795779
1109.643902,1.085835922,0.245417186,4.424449409,9.67E-06,7.34E-05
72.7603476,-3.381495429,0.377965584,-8.946569666,3.67E-19,5.19E-17
770.8927704,-1.55516722,0.258722678,-6.010942804,1.84E-09,3.31E-08
259.214853,-1.493769269,0.197074535,-7.579717344,3.46E-14,1.82E-12
609.3289333,1.003053326,0.149360264,6.715663833,1.87E-11,5.21E-10
126.4764412,-1.152719433,0.312042748,-3.694107432,0.000220661,0.001125778
1389.271949,-1.574757007,0.240868163,-6.537837901,6.24E-11,1.58E-09
1344.888325,-1.594567423,0.169778138,-9.3920657,5.88E-21,1.24E-18
297.6262865,1.23881785,0.258808079,4.786627439,1.70E-06,1.57E-05
817.9832457,-1.026672424,0.152004894,-6.754206364,1.44E-11,4.09E-10
1256.914634,-1.433164814,0.229983967,-6.231585762,4.62E-10,9.63E-09
886.3585056,1.219975459,0.134732107,9.054823608,1.37E-19,2.14E-17
519.3773517,1.219982772,0.172558171,7.069979724,1.55E-12,5.49E-11
2813.338416,1.282117437,0.157392299,8.145998541,3.76E-16,2.94E-14
1757.888342,1.332222314,0.17965208,7.415568555,1.21E-13,5.85E-12
150.0700617,1.123451085,0.292351039,3.842815433,0.000121631,0.000672781
49.89333798,-1.41625705,0.390578374,-3.626050868,0.000287789,0.001427226
3444.17058,-1.544303452,0.193897623,-7.964530105,1.66E-15,1.16E-13
2072.043362,-1.384822741,0.43734986,-3.166395759,0.001543407,0.006025222
766.7593394,1.031263224,0.173045149,5.959503795,2.53E-09,4.43E-08
86.40674899,2.019868178,0.40284102,5.014057847,5.33E-07,5.57E-06
120.3789461,-1.043588606,0.314544394,-3.317778431,0.000907364,0.003797834
311.4946992,2.763274386,0.555642103,4.973119155,6.59E-07,6.71E-06
822.4909032,1.44833159,0.223652132,6.475822879,9.43E-11,2.31E-09
1903.150061,1.078080069,0.145520628,7.408434681,1.28E-13,6.13E-12
3375.426288,-1.059512043,0.11935864,-8.876710101,6.89E-19,8.92E-17
672.8505762,-1.608373198,0.280594811,-5.73201334,9.92E-09,1.52E-07
197.9247784,-1.172684312,0.290479581,-4.0370628,5.41E-05,0.000337378
276.5948139,-1.129805644,0.232335173,-4.862826533,1.16E-06,1.12E-05
372.3885513,1.208497557,0.235884234,5.12326549,3.00E-07,3.35E-06
623.6203749,1.192464249,0.185362184,6.433158173,1.25E-10,2.94E-09
12.64057855,-2.101508017,0.746862894,-2.813780193,0.00489627,0.016179209
501.0822865,1.128210146,0.228028435,4.947673059,7.51E-07,7.56E-06
445.4652086,-2.416322269,0.970323889,-2.490222384,0.012766319,0.036030007
1037.310174,1.410136405,0.223578501,6.307119851,2.84E-10,6.25E-09
174.2184206,-1.7077608,0.287718235,-5.935532033,2.93E-09,5.02E-08
29.09577082,2.771447335,0.559458442,4.953803762,7.28E-07,7.35E-06
123.3554636,1.085499693,0.321631861,3.374975629,0.000738222,0.003172741
398.7153806,-1.466681933,0.206371386,-7.107002392,1.19E-12,4.46E-11
17309.60945,-1.184536052,0.222551881,-5.32251648,1.02E-07,1.27E-06
1003.059154,-1.283115107,0.16989794,-7.552269948,4.28E-14,2.15E-12
342.9941798,1.485463909,0.186834045,7.950713188,1.85E-15,1.27E-13
987.9733023,-1.184266752,0.236654784,-5.004195285,5.61E-07,5.82E-06
1369.207376,-1.219551969,0.180336042,-6.762663488,1.35E-11,3.87E-10
296.7223759,1.874595153,0.292294937,6.413368541,1.42E-10,3.32E-09
187.5495757,1.201225615,0.243508056,4.933001537,8.10E-07,8.12E-06
560.6136093,1.151487626,0.225993122,5.095233058,3.48E-07,3.86E-06
174.0578482,1.2188124,0.19200959,6.347664207,2.19E-10,4.97E-09
8119.046946,1.295269224,0.161324233,8.028981147,9.83E-16,7.13E-14
4702.60512,-1.125363936,0.20222244,-5.564980516,2.62E-08,3.65E-07
243.5120466,-1.031752641,0.171887002,-6.002505296,1.94E-09,3.46E-08
79.07014983,-1.324117093,0.337284174,-3.925820405,8.64E-05,0.000501321
637.0784612,-1.791793899,0.719604186,-2.489971476,0.012775335,0.03603603
280.9817918,-1.076106519,0.237670274,-4.527728693,5.96E-06,4.81E-05
2580.48015,1.293649668,0.178603898,7.243121119,4.38E-13,1.80E-11
10013.84172,1.468601946,0.219631142,6.686674463,2.28E-11,6.28E-10
100.8433206,1.263097292,0.27551635,4.584473082,4.55E-06,3.79E-05
366.9340669,-1.021541999,0.204120493,-5.004602837,5.60E-07,5.82E-06
30.26911406,-1.371044409,0.557435106,-2.459558778,0.013910792,0.038612909
83.73016203,-1.058105634,0.362234026,-2.921055334,0.003488479,0.012098425
172.7193665,-1.009415416,0.286434469,-3.524071039,0.00042497,0.00198016
556.4400316,1.001588649,0.143154713,6.996546816,2.62E-12,8.73E-11
956.7767888,1.017331372,0.217939524,4.667952629,3.04E-06,2.66E-05
36.05673606,-1.779896729,0.459497924,-3.873568594,0.000107253,0.000605349
117.7537316,1.195559716,0.252015925,4.743984785,2.10E-06,1.90E-05
316.9612949,1.030327156,0.218835501,4.708226723,2.50E-06,2.23E-05
1041.523976,1.093476477,0.142920515,7.65094135,2.00E-14,1.09E-12
11.28104489,-2.502743603,0.912953844,-2.741369259,0.00611837,0.019477719
62.96535337,4.180789701,0.486297255,8.597189598,8.17E-18,8.73E-16
24.6112954,2.727874729,0.620558068,4.395841213,1.10E-05,8.29E-05
2375.53135,1.159227315,0.149815556,7.737696587,1.01E-14,5.93E-13
8428.801815,-1.486380544,0.143578047,-10.3524221,4.08E-25,1.38E-22
902.3497903,-1.00199086,0.179808773,-5.572535989,2.51E-08,3.51E-07
303.5201786,1.418270576,0.174456046,8.129672842,4.30E-16,3.32E-14
969.7086123,1.247846101,0.142067383,8.783480607,1.58E-18,1.93E-16
1952.94213,1.53909778,0.238777867,6.445730489,1.15E-10,2.72E-09
525.3107046,-1.976447663,0.210451874,-9.39144719,5.92E-21,1.24E-18
2017.566708,-1.32310578,0.272329464,-4.858474584,1.18E-06,1.14E-05
1338.322212,-1.40919725,0.169268407,-8.325223066,8.42E-17,7.54E-15
232.867865,-1.685174411,0.306333782,-5.501105362,3.77E-08,5.12E-07
12863.47893,1.085794026,0.132394098,8.201226824,2.38E-16,1.99E-14
5047.550013,1.147786115,0.164112105,6.993915019,2.67E-12,8.80E-11
887.811914,-1.86187882,0.424436414,-4.386708486,1.15E-05,8.60E-05
4428.094875,-1.176214081,0.181919938,-6.465558936,1.01E-10,2.42E-09
497.2681547,-1.076427923,0.184557959,-5.832465486,5.46E-09,8.85E-08
477.4569633,1.322030069,0.223558723,5.913569592,3.35E-09,5.66E-08
1279.510718,1.063129073,0.187585452,5.667438819,1.45E-08,2.17E-07
646.801144,1.082987492,0.142130351,7.619677893,2.54E-14,1.36E-12
1005.51628,1.224779139,0.21804048,5.617209894,1.94E-08,2.82E-07
285.1134228,-1.902135769,0.319825574,-5.947416101,2.72E-09,4.71E-08
79.34290862,1.192948376,0.357387044,3.337973202,0.000843919,0.003572549
74.04886804,2.150011969,0.533637557,4.028974239,5.60E-05,0.000347067
2670.768437,-1.092773834,0.167115386,-6.539037849,6.19E-11,1.57E-09
7031.67336,1.047962963,0.141497332,7.406238303,1.30E-13,6.18E-12
348.5140261,-1.74417488,0.206951152,-8.427954434,3.52E-17,3.51E-15
131.6239418,1.081075064,0.275655363,3.92183578,8.79E-05,0.000509201
383.8390796,-1.94773986,0.257048024,-7.577338378,3.53E-14,1.84E-12
1001.953245,1.307413263,0.258143813,5.064670151,4.09E-07,4.43E-06
647.2876349,1.741966027,0.240487407,7.243481275,4.37E-13,1.80E-11
4149.081931,1.405196471,0.138866716,10.11903006,4.55E-24,1.39E-21
65.74893819,-1.014147599,0.38000766,-2.668755675,0.007613281,0.023334112
784.3365904,2.37120395,0.170629696,13.89678354,6.63E-44,6.72E-41
5798.218774,1.016589956,0.141676306,7.175440847,7.21E-13,2.89E-11
546.2102079,-1.064326013,0.227676268,-4.674734094,2.94E-06,2.59E-05
243.6278211,1.721660508,0.560013694,3.074318584,0.00210984,0.007882776
890.438022,-1.605784353,0.198323062,-8.096811001,5.64E-16,4.24E-14
19.45633914,-1.445048293,0.518412107,-2.787450899,0.00531245,0.017328775
228.2742289,1.568354412,0.231330475,6.77971379,1.20E-11,3.54E-10
4671.197456,1.220781365,0.262962081,4.642423572,3.44E-06,2.97E-05
7227.760671,-3.31571788,0.479203193,-6.919231613,4.54E-12,1.43E-10
784.6466644,1.235413273,0.207377606,5.957312838,2.56E-09,4.47E-08
2910.390816,1.050110058,0.131133801,8.007928149,1.17E-15,8.36E-14
672.6576166,1.050761018,0.154768502,6.789243321,1.13E-11,3.35E-10
93.77369892,-1.16656191,0.261583619,-4.459613775,8.21E-06,6.40E-05
13.59661126,1.582321915,0.63752699,2.481968513,0.013065882,0.036651875
831.9705458,-1.064521903,0.209562286,-5.079739878,3.78E-07,4.13E-06
592.3236908,-1.215384246,0.17232415,-7.052895628,1.75E-12,6.13E-11
2057.854926,-1.827942489,0.222088704,-8.230686469,1.86E-16,1.57E-14
633.105456,1.052110902,0.213263983,4.933373598,8.08E-07,8.12E-06
126.5882191,3.236284644,1.302005007,2.485616127,0.012932738,0.036362132
295.0804471,1.072227075,0.220391642,4.86509862,1.14E-06,1.10E-05
5.418164616,4.374925412,1.488333814,2.939478611,0.00328765,0.011513391
70.84793787,-4.389880757,0.786088455,-5.584461558,2.34E-08,3.31E-07
309.9653923,1.105192775,0.227541834,4.85709707,1.19E-06,1.14E-05
12095.71552,1.015140651,0.144013826,7.048911068,1.80E-12,6.24E-11
223.2074831,1.145534249,0.272675102,4.201095878,2.66E-05,0.000180947
5032.048461,1.763687427,0.44204237,3.989860582,6.61E-05,0.000399824
1313.435884,1.000169556,0.163057666,6.133839526,8.58E-10,1.70E-08
324.9438979,1.153136619,0.201143167,5.732914699,9.87E-09,1.51E-07
3127.024205,-1.079266153,0.167942346,-6.426408688,1.31E-10,3.06E-09
1034.43121,-3.427085731,1.386623211,-2.471533509,0.013453494,0.037583385
64.90650581,-1.730460823,0.439648857,-3.936006647,8.28E-05,0.000485431
1530.171978,-1.477491908,0.208552017,-7.08452465,1.40E-12,5.12E-11
1329.907346,-1.104358383,0.157192779,-7.025503268,2.13E-12,7.30E-11
27.95302467,-2.596319213,0.504825421,-5.143004109,2.70E-07,3.04E-06
314.2731611,-1.262128815,0.293010939,-4.307446057,1.65E-05,0.000118465
247.7611782,1.098710362,0.244019246,4.502556167,6.71E-06,5.36E-05
1265.259834,-1.013273517,0.161308571,-6.281585105,3.35E-10,7.21E-09
985.4612829,1.252038027,0.128935982,9.710540131,2.72E-22,7.20E-20
266.0658711,1.169809206,0.196227137,5.961505752,2.50E-09,4.39E-08
315.5543923,1.477506401,0.300856432,4.911001546,9.06E-07,8.94E-06
108.2601253,1.312749131,0.281848706,4.6576376,3.20E-06,2.77E-05
804.9638756,1.231879333,0.17409979,7.07570834,1.49E-12,5.33E-11
1239.406784,-1.083314038,0.314939962,-3.439747788,0.000582257,0.002580984
16.81541971,2.650938175,0.933374462,2.840165744,0.00450901,0.015099572
512.0290937,1.216080779,0.223928126,5.430674569,5.61E-08,7.35E-07
145.8935808,1.467528645,0.392322114,3.740621787,0.000183566,0.000962889
1091.618777,1.104168463,0.203225398,5.433220816,5.53E-08,7.28E-07
803.4905033,1.143008654,0.177151584,6.452150341,1.10E-10,2.61E-09
197.5897143,-1.202750577,0.245346464,-4.902253558,9.47E-07,9.32E-06
185.6234621,1.121098332,0.271053634,4.136075633,3.53E-05,0.00023185
135.8841443,1.040212976,0.27610724,3.76742376,0.000164941,0.000875754
43.14911083,3.051368483,0.508491716,6.000822405,1.96E-09,3.49E-08
41.29153307,-1.754410701,0.458090031,-3.829838205,0.000128228,0.000705425
633.7149998,-1.408159404,0.204720365,-6.878452981,6.05E-12,1.88E-10
30.43969786,-1.732791559,0.493307962,-3.512595966,0.000443752,0.002050416
23.22476728,1.275516145,0.47178655,2.703587346,0.006859542,0.021370655
366.8818481,1.129618141,0.227203085,4.971843312,6.63E-07,6.73E-06
11.12579284,-2.005641414,0.837841994,-2.393818201,0.016674011,0.044792558
2334.252897,-1.092897546,0.176232151,-6.201465161,5.59E-10,1.14E-08
317.1233643,1.122358112,0.184323849,6.089055307,1.14E-09,2.18E-08
1095.269167,1.163343191,0.194704923,5.97490385,2.30E-09,4.06E-08
121.1731701,-1.801518816,0.375954288,-4.791856012,1.65E-06,1.53E-05
1281.315615,-1.249671035,0.2698856,-4.630373148,3.65E-06,3.12E-05
944.1848457,-1.376984865,0.218920899,-6.289873963,3.18E-10,6.86E-09
1542.475575,1.023508852,0.146763266,6.973876227,3.08E-12,1.01E-10
484.5176524,1.173538829,0.223943757,5.240328398,1.60E-07,1.92E-06
760.9488443,-1.139844629,0.204876217,-5.563577092,2.64E-08,3.67E-07
7325.190679,1.074340112,0.190897756,5.627829982,1.82E-08,2.68E-07
178.3049535,-1.089166883,0.208158141,-5.232401089,1.67E-07,1.98E-06
319.3135954,-1.054219349,0.214020925,-4.925777008,8.40E-07,8.38E-06
377.2946878,-3.392513566,1.395864511,-2.430403194,0.015082034,0.041299276
6444.600505,1.026877367,0.140310557,7.318603736,2.51E-13,1.10E-11
3793.918965,-1.653286528,0.20021575,-8.257524833,1.49E-16,1.29E-14
873.332446,-1.091580168,0.197247573,-5.534061332,3.13E-08,4.28E-07
1179.517512,-1.443235189,0.182641909,-7.901993556,2.74E-15,1.80E-13
36.60856322,5.51065182,1.285817952,4.28571697,1.82E-05,0.00012944
6.409348028,4.586216923,1.551064561,2.956818844,0.003108307,0.010986412
479.7649699,1.083690833,0.278156276,3.895978361,9.78E-05,0.000560848
274.7889067,1.208530549,0.27961258,4.322160861,1.55E-05,0.000112291
1668.507183,1.108619902,0.159216233,6.962982843,3.33E-12,1.08E-10
311.368588,1.332464379,0.217950968,6.11359698,9.74E-10,1.89E-08
422.4946279,-1.07521314,0.15892787,-6.765415899,1.33E-11,3.84E-10
223.7285995,-1.034382724,0.190663364,-5.425178179,5.79E-08,7.53E-07
208.9791711,-1.278371412,0.248355426,-5.147346425,2.64E-07,2.97E-06
3277.609475,1.153696597,0.120001307,9.614033572,6.98E-22,1.63E-19
679.1118404,1.316690495,0.251202299,5.241554314,1.59E-07,1.91E-06
540.3311482,-1.320724484,0.206538337,-6.39457304,1.61E-10,3.71E-09
385.1111603,-1.028388701,0.246936249,-4.164591885,3.12E-05,0.000208511
5673.699672,1.015934473,0.187739187,5.411414053,6.25E-08,8.05E-07
722.5828371,-1.263051849,0.187125038,-6.749774711,1.48E-11,4.19E-10
428.7667043,1.290265909,0.174571408,7.391049431,1.46E-13,6.82E-12
481.6923897,-1.03199007,0.189965505,-5.432512968,5.56E-08,7.29E-07
451.7507414,1.154140705,0.190250681,6.06642089,1.31E-09,2.47E-08
481.7732798,1.121215075,0.176745916,6.343654798,2.24E-10,5.08E-09
513.5210478,-1.013004239,0.185765504,-5.453134292,4.95E-08,6.57E-07
3259.678713,2.834813615,0.147612812,19.20438733,3.40E-82,2.07E-78
300.1074151,1.394848526,0.176213926,7.915654324,2.46E-15,1.65E-13
1768.276072,1.43539939,0.394369924,3.639728344,0.000272926,0.001362392
532.9707836,-1.248595454,0.310330472,-4.023438129,5.74E-05,0.000353532
54.82755934,1.869971691,0.478859935,3.905049375,9.42E-05,0.000542777
616.7134242,1.082628782,0.151519151,7.145161375,8.99E-13,3.51E-11
