"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00160C",4383.88403087397,1.17628121275999,0.153253520074223,7.6753944195885,1.64910436334806e-14,9.21380327778872e-13
"C1_00200C",87.1091729294948,1.11586449249571,0.336874820330335,3.31240100225214,0.000924988566821375,0.00385570182884475
"C1_00270W",94.7205490156598,-1.71098478832266,0.394273300775794,-4.33959079896111,1.42748276788914e-05,0.000104613358079962
"C1_00290W",501.208092853925,-1.3262807964491,0.235981678046928,-5.62027021515354,1.90659020542776e-08,2.77778333757298e-07
"C1_00550W",328.224831315417,1.15214832144409,0.161286418216637,7.14349251588281,9.09888784635075e-13,3.52944120918956e-11
"C1_00830W",344.01522270303,-1.71816010773318,0.24012547502346,-7.15525958903494,8.35147312773891e-13,3.32421381359019e-11
"C1_00850W",436.709186311623,-1.16035826055152,0.171531300836707,-6.76470273875058,1.33583181547951e-11,3.83736592276897e-10
"C1_00900W",907.716966066934,1.15956514390432,0.188352861956991,6.15634470247178,7.44431022151212e-10,1.481563700948e-08
"C1_01240W",820.9406342108,-1.40672171703352,0.227551527006631,-6.18199198897279,6.32977387510108e-10,1.27643453309158e-08
"C1_01370C",3354.05605375491,1.08939512809057,0.195072196591125,5.58457405579928,2.34273675079738e-08,3.31241404294501e-07
"C1_01440C",175.242817843721,-1.64702387382718,0.359387397777872,-4.5828648528326,4.58648485811726e-06,3.80540773650329e-05
"C1_01610C",167.062248377044,-1.13679647647993,0.288557213724176,-3.93958779199526,8.16217298103012e-05,0.000480266989898294
"C1_01620C",403.550540111205,-1.307323877684,0.525266736113681,-2.48887619908423,0.0128147580391365,0.036113779018205
"C1_01680C",597.90463033047,1.10140426649533,0.168102541023875,6.55197868983375,5.67796461218087e-11,1.44681190327119e-09
"C1_01740W",318.209071719361,-2.49646354723217,0.324424112513123,-7.6950616521489,1.41425965477254e-14,8.04938439024743e-13
"C1_01990W",7.81268692020321,-3.56499687692904,1.19156458388641,-2.99186206533719,0.00277281515800617,0.00995450473439186
